departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Dar Es Salaam,39.337,-6.797,Tanzania,Kilimanjaro,37.124,-3.05,Tanzania,2,483
Dar Es Salaam,39.337,-6.797,Tanzania,Johannesburg,28.41,-25.566,South Africa,2,2387
Istanbul,29.357,41.628,Turkey,Nairobi,37.545,-0.866,Kenya,2,4796
Vienna,16.949,48.183,Austria,Cairo,31.675,30.203,Egypt,2,2358
Tunis,10.378,37.418,Tunisia,Cairo,31.675,30.203,Egypt,2,2118
Madinah,40.175,24.922,Saudi Arabia,Cairo,31.675,30.203,Egypt,2,1022
Muscat,58.474,23.988,Oman,Cairo,31.675,30.203,Egypt,2,2734
Johannesburg,28.41,-25.566,South Africa,Cairo,31.675,30.203,Egypt,2,6210
New York,-73.632,41.066,United States,Cairo,31.675,30.203,Egypt,2,8993
Jeddah,39.26,22.132,Saudi Arabia,Cairo,31.675,30.203,Egypt,2,1173
Istanbul,29.357,41.628,Turkey,Alexandria,30.16,31.529,Egypt,2,1125
Istanbul,29.357,41.628,Turkey,Cairo,31.675,30.203,Egypt,2,1287
Doha,51.941,25.435,Qatar,Cairo,31.675,30.203,Egypt,2,2059
Dammam,50.329,26.785,Saudi Arabia,Cairo,31.675,30.203,Egypt,2,1859
Moscow,38.51,55.681,Russia,Cairo,31.675,30.203,Egypt,2,2883
Damascus,36.857,33.684,Syria,Cairo,31.675,30.203,Egypt,2,623
Copenhagen,13.093,56.029,Denmark,Cairo,31.675,30.203,Egypt,2,3220
Cairo,31.675,30.203,Egypt,Tunis,10.378,37.418,Tunisia,2,2118
Cairo,31.675,30.203,Egypt,Johannesburg,28.41,-25.566,South Africa,2,6210
